tweet,Processed Text
komen,['komen']
"Nah gini dari pada lo cuma balesin tweet gue, langsung ikutan aja kompetisi","['nah', 'gin', 'pada', 'kamu', 'cuma', 'membalas', 'tweet', 'saya', 'langsung', 'ikut', 'saja', 'kompetisi']"
iya iya,"['iya', 'iya']"
This is awesome :),"['this', 'is', 'awesome']"
Sini bagi bahagianya,"['sini', 'bahagia']"
Kaya sering denger di tv,"['kayak', 'sering', 'dengar', 'tv']"
Tp d alfa masih?:(,"['tapi', 'di', 'alfa']"
nice,['nice']
"""Buat yang mau nge dekorasi rumahnya dan butuh furniture berkualitas, bisa banget nih order di kita. Melayani custom sesuai selera","['buat', 'mau', 'nge', 'dekorasi', 'rumah', 'butuh', 'furniture', 'kualitas', 'banget', 'ini', 'order', 'layan', 'custom', 'sesuai', 'selera']"
"""",[]
kalo aku di duain,"['kalau', 'duain']"
Tumben to,"['tumben', 'tapi']"
"kalau kita bahagia otomatis kita bisa berbagi kebahagiaan dengan orang lain kan, karena kalo kita sendiri ga bahagia gimana mau kasih kebahagiaan buat orang lain.","['kalau', 'bahagia', 'otomatis', 'bisa', 'bagi', 'bahagia', 'kan', 'kalau', 'sendiri', 'enggak', 'bahagia', 'bagaimana', 'mau', 'kasih', 'bahagia', 'buat']"
bener banget. bahagia-in diri sendiri dulu baru bahagia-in orang lain,"['benar', 'banget', 'bahagiain', 'diri', 'sendiri', 'dulu', 'baru', 'bahagiain']"
Percuma dapat love di socmed kita banyak kalo pada dasarnya love sendiri pun kita gak bisa,"['percuma', 'love', 'socmed', 'banyak', 'kalau', 'dasar', 'love', 'sendiri', 'enggak']"
bener karna bahagia itu udah job desk masing-masing,"['benar', 'karena', 'bahagia', 'sudah', 'job', 'desk', 'masingmasing']"
Punten.. Nitip nder,"['punten', 'nitip', 'nder']"
Makasih ya udah ngetwit ini. Pas banget aku lagi ngerasa kok capek ya ngikutin senengnya orang lain sksksksk,"['terima kasih', 'sudah', 'ngetwit', 'pas', 'banget', 'merasa', 'kok', 'capek', 'mengikuti', 'neng', 'sksksksk']"
"""Nitip jualan kak","['nitip', 'jual', 'kak']"
"Hai ada yg suka baca buku atau novel? Aku jual buku original preloved aku nih harganya 20k-40k. Bisa freeongkir lewat shope/tokped juga. Kalau mau nanya2 atau minat bisa langsung dm aku ya""","['hai', 'yang', 'suka', 'baca', 'buku', 'novel', 'jual', 'buku', 'original', 'preloved', 'ini', 'harga', 'kakak', 'freeongkir', 'lewat', 'shopetokped', 'kalau', 'mau', 'bertanya', 'minat', 'langsung', 'dm']"
"Kale, tapi kamu salah orang buat ngebagi kebahagiaan itu","['kali', 'salah', 'buat', 'ngebagi', 'bahagia']"
Yg penasaran nih gaes,"['yang', 'penasaran', 'ini', 'gaes']"
"Woy, gua. Jiahhh","['woy', 'saya', 'jiahhh']"
Bojoku,['bojoku']
"tuhkaaan, gimana?","['tuhkaaan', 'bagaimana']"
misi numpak lapak,"['misi', 'numpak', 'lapak']"
numpang jualan ya kak siapa tau ada yang mau,"['numpang', 'jual', 'kak', 'siapa', 'tahu', 'yang', 'mau']"
Permisi.. Nitip iklan ya kak,"['permisi', 'nitip', 'iklan', 'kak']"
"""Nitip ya ka","['nitip', 'kakak']"
"""",[]
nitip ya ka,"['nitip', 'kakak']"
"Denganmu gak perlu ragu, blibli gratis ongkir nomer 1. Kuingin selalu bersamamu, karena aku nomer 1. Terngiang ngiang","['dengan', 'enggak', 'perlu', 'ragu', 'blibli', 'gratis', 'ongkos kirim', 'nomer', 'ingin', 'selalu', 'sama', 'nomer', 'ngiang', 'ngiang']"
aku udah ikutan. gara2 tweet kamu. kalo aku menang aku gofood - in lawless burger ya buat menu valentine. haha,"['sudah', 'ikut', 'gara', 'tweet', 'kalau', 'menang', 'gofood', 'ini', 'lawless', 'burger', 'buat', 'menu', 'valentine', 'tertawa']"
"sana aja. Liat, ujung2nya ada ngga yang bahagia karna kamu(?)","['sana', 'saja', 'lihat', 'ujung', 'tidak', 'bahagia', 'karena']"
Quote of the day,"['quote', 'of', 'the', 'day']"
"""Nih ada film pendek, mengharukan, bikinan saya dkk.","['ini', 'film', 'pendek', 'harus', 'bikin', 'dan kawan-kawan']"
"""",[]
Izin memperluas informasi...,"['izin', 'luas', 'informasi']"
"""Oh senangnya kujalani indahnya hari ini","['senang', 'jalan', 'indah', 'hari']"
Bersamamu setiap waktu jadikanku nomor satu,"['sama', 'waktu', 'jadi', 'nomor', 'satu']"
Semua yang kumau Blibli kirim cepat selalu,"['semua', 'mau', 'blibli', 'kirim', 'cepat', 'selalu']"
Denganmu ga perlu ragu Blibli bebas ongkir nomor satu,"['dengan', 'enggak', 'perlu', 'ragu', 'blibli', 'bebas', 'ongkos kirim', 'nomor', 'satu']"
Ku ingin selalu bersama karena aku nomor satu,"['ku', 'selalu', 'sama', 'nomor', 'satu']"
"Kenapa gue terngiang2 itu terus njir""","['saya', 'ngiang', 'terus', 'anjir']"
Ayo bang kita bahagia bareng bareng,"['ayo', 'bang', 'bahagia', 'bareng', 'bareng']"
Iya iya iklan blibli,"['iya', 'iya', 'iklan', 'blibli']"
"""nitip jualan ya kak karna pandemi udah dirumahkan 8 bln jd mulai usaha kecil""""an murah"""" bgt ini start dari harga 15.000 bisa check shopee aku di Balievshop: ""","['nitip', 'jual', 'kak', 'karena', 'pandemi', 'sudah', 'rumah', 'bulan', 'jadi', 'mulai', 'usaha', 'kecil', 'murah', 'banget', 'start', 'harga', 'check', 'shopee', 'balievshop']"
Aww,['aww']
Thank you kak Dhito udah berbagi kebahagiaan lewat musik-musik lo yang keren,"['thank', 'you', 'kak', 'dhito', 'sudah', 'bagi', 'bahagia', 'lewat', 'musikmusik', 'kamu', 'keren']"
Temen gw nih!,"['teman', 'saya', 'ini']"
masih kalah dengan yang mulai dari 0 ya ka :D,"['kalah', 'yang', 'mulai', 'iya', 'kakak', 'di']"
Nih pasti bli bli dot kom ya beb,"['ini', 'beli', 'beli', 'dot', 'kom', 'sayang']"
"buat orang lain bahagia,aku juga ikut bahagia :)","['buat', 'bahagiaaku', 'ikut', 'bahagia']"
Kak mohon maaf izin nitip lapak ya,"['kak', 'mohon', 'maaf', 'izin', 'nitip', 'lapak']"
"""Gue bacanya kaya nada iklan tadi gara-gara abis dengerin iklan """"karena aku nomor 1"""" wkwk""","['saya', 'baca', 'kayak', 'nada', 'iklan', 'tadi', 'garagara', 'habis', 'dengarkan', 'iklan', 'nomor', 'wkwk']"
ya mas,['mas']
kata kale bilang ke awan kebahagiaan orang lain bukan tanggung jawab kita,"['kata', 'kali', 'bilang', 'awan', 'bahagia', 'bukan', 'tanggung', 'jawab']"
Nitip jualan ka,"['nitip', 'jual', 'kakak']"
Blibli bang?,"['blibli', 'bang']"
bahagia kamu aja dibagi-bagi apalagi cinta kamu HAHAHAHA,"['bahagia', 'saja', 'dibagibagi', 'cinta', 'hahahaha']"
Sumpah gue bacanya pake nada ardhito di iklan,"['sumpah', 'saya', 'baca', 'pakai', 'nada', 'ardhito', 'iklan']"
Belanja di Lazada aja,"['belanja', 'lazada', 'saja']"
HAHAHA bernada,"['hahaha', 'nada']"
Yaassshh,['yaassshh']
Gua kira iklan blibli,"['saya', 'kira', 'iklan', 'blibli']"
iya sayang,"['iya', 'sayang']"
Jadi inget iklan blibli,"['jadi', 'ingat', 'iklan', 'blibli']"
Dhit rokok lu apa dhit?,"['dhit', 'rokok', 'kamu', 'apa', 'dhit']"
Setuju sekali,"['tuju', 'sekali']"
Blibli detected.,"['blibli', 'detected']"
ini dito ato kale yang pegang twt,"['dito', 'atau', 'kali', 'pegang', 'twt']"
ini kale apa dito yg nge tweet?,"['kali', 'apa', 'dito', 'yang', 'nge', 'tweet']"
Ku ingin selalu bersamamu.. Karna aku nomor 1,"['ku', 'selalu', 'sama', 'karena', 'nomor']"
mas dhito andalanku,"['mas', 'dhito', 'andal']"
hmm yuk ikutan event Denmark dan Korea di Pre event P4G,"['hmm', 'yuk', 'ikut', 'event', 'denmark', 'korea', 'pre', 'event', 'pagi']"
Terima kasih telah memberikan rasa bahagia kepada para penikmat musik bang ardhito!  Jangan lupa minum Joss C 1000 untuk mengembalikan daya tahan tubuh setelah beraktifitas,"['terima', 'kasih', 'beri', 'rasa', 'bahagia', 'para', 'nikmat', 'musik', 'bang', 'ardhito', 'jangan', 'lupa', 'minum', 'joss', 'sih', 'kembali', 'daya', 'tahan', 'tubuh', 'beraktifitas']"
Halllow,['halllow']
"""Orang Baik Bantu Retweet!","['baik', 'bantu', 'retweet']"
"PELIT RETWEET REZEKI NYA SEMPIT!!""","['pelit', 'retweet', 'rezeki', 'nya', 'sempit']"
"""permisii numpang jualan yaa","['misi', 'numpang', 'jual', 'ya']"
"""",[]
hai kak maaf numpang ngelapak makasi,"['hai', 'kak', 'maaf', 'numpang', 'ngelapak', 'makas']"
~~ iklan yaa kak,"['iklan', 'ya', 'kak']"
izin numpang jualan kak,"['izin', 'numpang', 'jual', 'kak']"
"halooo, aku jual netflix viu dll yuk dm langsung ready gapake nunggu setelah transfer","['halo', 'jual', 'netflix', 'viu', 'yuk', 'dm', 'langsung', 'ready', 'enggak pakai', 'menunggu', 'transfer']"
"""",[]
"songs that make your day feel better""","['songs', 'that', 'memakai', 'your', 'day', 'feel', 'better']"
